id,document_id,user_id,"created_at","updated_at"
376,376,88,"2017-06-28 18:07:53","2017-06-28 18:07:53"
377,377,88,"2017-06-28 18:26:42","2017-06-28 18:26:42"
378,378,4,"2017-06-29 17:18:26","2017-06-29 17:18:26"
379,379,9,"2017-06-29 21:31:45","2017-06-29 21:31:45"
380,380,9,"2017-06-29 21:39:28","2017-06-29 21:39:28"
381,381,9,"2017-06-29 21:44:35","2017-06-29 21:44:35"
382,382,9,"2017-06-30 17:15:03","2017-06-30 17:15:03"
383,383,2,"2017-06-30 17:54:58","2017-06-30 17:54:58"
384,384,3,"2017-06-30 18:05:43","2017-06-30 18:05:43"
385,385,9,"2017-06-30 18:22:25","2017-06-30 18:22:25"
386,386,9,"2017-06-30 18:24:35","2017-06-30 18:24:35"
387,387,9,"2017-06-30 18:25:02","2017-06-30 18:25:02"
388,388,9,"2017-06-30 18:25:39","2017-06-30 18:25:39"
389,389,9,"2017-06-30 18:26:14","2017-06-30 18:26:14"
390,390,9,"2017-06-30 18:27:39","2017-06-30 18:27:39"
391,391,9,"2017-06-30 18:29:08","2017-06-30 18:29:08"
392,392,9,"2017-06-30 18:30:25","2017-06-30 18:30:25"
393,393,9,"2017-06-30 18:31:25","2017-06-30 18:31:25"
394,394,9,"2017-06-30 18:33:35","2017-06-30 18:33:35"
395,395,9,"2017-06-30 18:34:35","2017-06-30 18:34:35"
396,396,9,"2017-06-30 18:36:38","2017-06-30 18:36:38"
397,397,9,"2017-06-30 18:38:01","2017-06-30 18:38:01"
398,398,138,"2017-06-30 19:07:45","2017-06-30 19:07:45"
399,399,138,"2017-06-30 20:52:05","2017-06-30 20:52:05"
400,400,138,"2017-06-30 21:02:46","2017-06-30 21:02:46"
401,401,138,"2017-06-30 21:02:46","2017-06-30 21:02:46"
402,402,31,"2017-06-30 21:13:47","2017-06-30 21:13:47"
403,403,32,"2017-07-05 17:59:39","2017-07-05 17:59:39"
404,404,117,"2017-07-05 18:27:56","2017-07-05 18:27:56"
405,405,117,"2017-07-05 18:44:11","2017-07-05 18:44:11"
406,406,4,"2017-07-05 19:10:58","2017-07-05 19:10:58"
407,407,79,"2017-07-05 19:16:49","2017-07-05 19:16:49"
408,408,4,"2017-07-05 19:18:12","2017-07-05 19:18:12"
409,409,4,"2017-07-05 19:20:07","2017-07-05 19:20:07"
410,410,4,"2017-07-05 19:21:20","2017-07-05 19:21:20"
411,411,4,"2017-07-05 19:22:27","2017-07-05 19:22:27"
412,412,79,"2017-07-05 19:22:59","2017-07-05 19:22:59"
413,413,79,"2017-07-05 19:24:00","2017-07-05 19:24:00"
414,414,4,"2017-07-05 19:24:10","2017-07-05 19:24:10"
415,415,79,"2017-07-05 19:24:59","2017-07-05 19:24:59"
416,416,79,"2017-07-05 19:27:00","2017-07-05 19:27:00"
417,417,79,"2017-07-05 19:33:43","2017-07-05 19:33:43"
418,418,79,"2017-07-05 19:41:54","2017-07-05 19:41:54"
419,419,79,"2017-07-05 19:49:26","2017-07-05 19:49:26"
420,420,79,"2017-07-05 19:55:20","2017-07-05 19:55:20"
421,421,4,"2017-07-05 20:05:45","2017-07-05 20:05:45"
422,422,79,"2017-07-05 20:08:05","2017-07-05 20:08:05"
423,423,4,"2017-07-05 20:10:17","2017-07-05 20:10:17"
424,424,79,"2017-07-05 20:11:35","2017-07-05 20:11:35"
425,425,4,"2017-07-05 20:14:31","2017-07-05 20:14:31"
426,426,4,"2017-07-05 20:18:21","2017-07-05 20:18:21"
427,427,4,"2017-07-05 20:20:41","2017-07-05 20:20:41"
428,428,4,"2017-07-05 20:22:06","2017-07-05 20:22:06"
429,429,4,"2017-07-05 20:36:16","2017-07-05 20:36:16"
430,430,4,"2017-07-05 20:37:16","2017-07-05 20:37:16"
431,431,4,"2017-07-05 20:44:10","2017-07-05 20:44:10"
432,432,4,"2017-07-05 20:47:21","2017-07-05 20:47:21"
433,433,4,"2017-07-05 20:51:03","2017-07-05 20:51:03"
434,434,4,"2017-07-05 20:53:33","2017-07-05 20:53:33"
435,435,4,"2017-07-05 20:53:57","2017-07-05 20:53:57"
436,436,79,"2017-07-06 14:31:16","2017-07-06 14:31:16"
